original_path,final_path
Sindora tonkinensis/sub_011/3381. Sindora tonkinensis.5 (146).png,train/Sindora tonkinensis/3381. Sindora tonkinensis.5 (146).png
Pterocarpus soyauxii/sub_008/14.png,train/Pterocarpus soyauxii/14.png
Afzelia quanzensis/sub_016/148.png,train/Afzelia quanzensis/148.png
Dalbergia cochinchinensis/sub_009/Dalbergia cochinchinensis.3280.5 (25).png,train/Dalbergia cochinchinensis/Dalbergia cochinchinensis.3280.5 (25).png
Peltogyne pubescens/sub_006/3377. Peltogyne pubescens.4 (136).png,train/Peltogyne pubescens/3377. Peltogyne pubescens.4 (136).png
Afzelia quanzensis/sub_025/122_1.png,train/Afzelia quanzensis/122_1.png
Dalbergia tonkinensis/sub_038/3353. Dalbergia tonkinensis.1.(29).png,train/Dalbergia tonkinensis/3353. Dalbergia tonkinensis.1.(29).png
Afzelia bella/sub_074/Afzelia bella_AMRX692_(56).png,train/Afzelia bella/Afzelia bella_AMRX692_(56).png
Pterocarpus indicus/sub_055/3395. Pterocarpus indicus.8 (227).png,train/Pterocarpus indicus/3395. Pterocarpus indicus.8 (227).png
Sindora cochinchinensis/sub_012/gụ21.png,train/Sindora cochinchinensis/gụ21.png
Dalbergia melanoxylon/sub_007/3352. Dalbergia melanoxylon.8.(231).png,train/Dalbergia melanoxylon/3352. Dalbergia melanoxylon.8.(231).png
Afzelia quanzensis/sub_002/10_1.png,train/Afzelia quanzensis/10_1.png
Peltogyne pubescens/sub_003/3377. Peltogyne pubescens.1 (7).png,train/Peltogyne pubescens/3377. Peltogyne pubescens.1 (7).png
Guibourtia coleosperma/sub_005/Guibourtia coleosperma_3253.10 (2).png,train/Guibourtia coleosperma/Guibourtia coleosperma_3253.10 (2).png
Dalbergia oliveri/sub_024/Dalbergia oliveri_3237.6_ (19).png,train/Dalbergia oliveri/Dalbergia oliveri_3237.6_ (19).png
Sindora cochinchinensis/sub_026/gụ10_1.png,train/Sindora cochinchinensis/gụ10_1.png
Pterocarpus soyauxii/sub_013/125.png,train/Pterocarpus soyauxii/125.png
Dalbergia oliveri/sub_052/Dalbergia oliveri_3237.4_ (18).png,train/Dalbergia oliveri/Dalbergia oliveri_3237.4_ (18).png
Afzelia africana/sub_011/doussie44_1.png,train/Afzelia africana/doussie44_1.png
Guibourtia ehie/sub_022/Guibourtia ehie_FEHC134_2_(70).png,train/Guibourtia ehie/Guibourtia ehie_FEHC134_2_(70).png
Dalbergia rimosa/sub_057/3414. Dalbergia rimosa.4 (117).png,train/Dalbergia rimosa/3414. Dalbergia rimosa.4 (117).png
Pterocarpus soyauxii/sub_026/14_1.png,train/Pterocarpus soyauxii/14_1.png
Afzelia pachyloba/sub_006/1.3_1.png,train/Afzelia pachyloba/1.3_1.png
Dalbergia oliveri/sub_040/Dalbergia oliveri_3237.10_ (5).png,train/Dalbergia oliveri/Dalbergia oliveri_3237.10_ (5).png
Dalbergia tonkinensis/sub_030/3353. Dalbergia tonkinensis.1.(13).png,train/Dalbergia tonkinensis/3353. Dalbergia tonkinensis.1.(13).png
Guibourtia arnoldiana/sub_006/3411. Guibourtia arnoldiana.4 (124).png,train/Guibourtia arnoldiana/3411. Guibourtia arnoldiana.4 (124).png
Afzelia africana/sub_051/doussie23_3.png,train/Afzelia africana/doussie23_3.png
Pterocarpus erinaceus/sub_007/3403. Pterocarpus erinaceus.5 (136).png,train/Pterocarpus erinaceus/3403. Pterocarpus erinaceus.5 (136).png
Pterocarpus macrocarpus/sub_004/117_2.png,train/Pterocarpus macrocarpus/117_2.png
Afzelia bella/sub_002/Afzelia bella_QCYD170_(265).png,train/Afzelia bella/Afzelia bella_QCYD170_(265).png
Pterocarpus erinaceus/sub_024/3403. Pterocarpus erinaceus.4 (115).png,train/Pterocarpus erinaceus/3403. Pterocarpus erinaceus.4 (115).png
Afzelia bella/sub_015/Afzelia bella_QCYD170_(271).png,train/Afzelia bella/Afzelia bella_QCYD170_(271).png
Sindora tonkinensis/sub_030/3381. Sindora tonkinensis.2 (48).png,train/Sindora tonkinensis/3381. Sindora tonkinensis.2 (48).png
Guibourtia ehie/sub_020/Guibourtia ehie_CHYX256_1_(24).png,train/Guibourtia ehie/Guibourtia ehie_CHYX256_1_(24).png
Afzelia bella/sub_051/Afzelia bella_AMRX692_(75).png,train/Afzelia bella/Afzelia bella_AMRX692_(75).png
Afzelia quanzensis/sub_021/121.png,train/Afzelia quanzensis/121.png
Afzelia bella/sub_020/Afzelia bella_QCYD170_(262).png,train/Afzelia bella/Afzelia bella_QCYD170_(262).png
Afzelia africana/sub_018/doussie1_1.png,train/Afzelia africana/doussie1_1.png
Pterocarpus soyauxii/sub_037/149_1.png,train/Pterocarpus soyauxii/149_1.png
Pterocarpus macrocarpus/sub_038/119_1_1.png,train/Pterocarpus macrocarpus/119_1_1.png
Pterocarpus macrocarpus/sub_060/16_3.png,train/Pterocarpus macrocarpus/16_3.png
Sindora cochinchinensis/sub_036/gụ36.png,train/Sindora cochinchinensis/gụ36.png
Pterocarpus erinaceus/sub_007/3403. Pterocarpus erinaceus.4 (117).png,train/Pterocarpus erinaceus/3403. Pterocarpus erinaceus.4 (117).png
Sindora cochinchinensis/sub_063/gụ24_1.png,train/Sindora cochinchinensis/gụ24_1.png
Pterocarpus indicus/sub_006/3395. Pterocarpus indicus.9 (255).png,train/Pterocarpus indicus/3395. Pterocarpus indicus.9 (255).png
Sindora tonkinensis/sub_040/3381. Sindora tonkinensis.2 (49).png,train/Sindora tonkinensis/3381. Sindora tonkinensis.2 (49).png
Peltogyne pubescens/sub_049/3377. Peltogyne pubescens.6 (208).png,train/Peltogyne pubescens/3377. Peltogyne pubescens.6 (208).png
Pterocarpus macrocarpus/sub_090/132_1.png,train/Pterocarpus macrocarpus/132_1.png
Dalbergia melanoxylon/sub_005/3352. Dalbergia melanoxylon.3.(70).png,train/Dalbergia melanoxylon/3352. Dalbergia melanoxylon.3.(70).png
Pterocarpus macrocarpus/sub_066/126_2.png,train/Pterocarpus macrocarpus/126_2.png
Pterocarpus macrocarpus/sub_002/130_3.png,train/Pterocarpus macrocarpus/130_3.png
Guibourtia arnoldiana/sub_025/3411. Guibourtia arnoldiana.5 (149).png,train/Guibourtia arnoldiana/3411. Guibourtia arnoldiana.5 (149).png
Dalbergia rimosa/sub_032/3414. Dalbergia rimosa.9 (265).png,train/Dalbergia rimosa/3414. Dalbergia rimosa.9 (265).png
Guibourtia ehie/sub_058/Guibourtia ehie_CHYX256_1_(17).png,train/Guibourtia ehie/Guibourtia ehie_CHYX256_1_(17).png
Dalbergia rimosa/sub_012/3414. Dalbergia rimosa.2 (32).png,train/Dalbergia rimosa/3414. Dalbergia rimosa.2 (32).png
Guibourtia coleosperma/sub_005/Guibourtia coleosperma_3253.2 (2).png,train/Guibourtia coleosperma/Guibourtia coleosperma_3253.2 (2).png
Pterocarpus indicus/sub_036/3395. Pterocarpus indicus.3 (78).png,train/Pterocarpus indicus/3395. Pterocarpus indicus.3 (78).png
Guibourtia coleosperma/sub_017/Guibourtia coleosperma_3253.11 (19).png,train/Guibourtia coleosperma/Guibourtia coleosperma_3253.11 (19).png
Afzelia quanzensis/sub_021/113_2.png,train/Afzelia quanzensis/113_2.png
Pterocarpus indicus/sub_015/3395. Pterocarpus indicus.2 (53).png,train/Pterocarpus indicus/3395. Pterocarpus indicus.2 (53).png
Pterocarpus macrocarpus/sub_063/139.png,train/Pterocarpus macrocarpus/139.png
Afzelia africana/sub_022/doussie15_3.png,train/Afzelia africana/doussie15_3.png
Afzelia quanzensis/sub_015/19_2.png,train/Afzelia quanzensis/19_2.png
Sindora tonkinensis/sub_005/3381. Sindora tonkinensis.7 (208).png,train/Sindora tonkinensis/3381. Sindora tonkinensis.7 (208).png
Afzelia bella/sub_021/Afzelia bella_OGHV743_(236).png,train/Afzelia bella/Afzelia bella_OGHV743_(236).png
Afzelia quanzensis/sub_001/11_1.png,train/Afzelia quanzensis/11_1.png
Afzelia bella/sub_020/Afzelia bella_HYBT691_(123).png,train/Afzelia bella/Afzelia bella_HYBT691_(123).png
Pterocarpus sp/sub_005/118_1.png,train/Pterocarpus sp/118_1.png
Dalbergia melanoxylon/sub_017/3352. Dalbergia melanoxylon.3.(82).png,train/Dalbergia melanoxylon/3352. Dalbergia melanoxylon.3.(82).png
Dalbergia rimosa/sub_059/3414. Dalbergia rimosa.6 (175).png,train/Dalbergia rimosa/3414. Dalbergia rimosa.6 (175).png
Pterocarpus sp/sub_069/151_3.png,train/Pterocarpus sp/151_3.png
Pterocarpus macrocarpus/sub_037/155.png,train/Pterocarpus macrocarpus/155.png
Dalbergia melanoxylon/sub_012/3352. Dalbergia melanoxylon.3.(76).png,train/Dalbergia melanoxylon/3352. Dalbergia melanoxylon.3.(76).png
Afzelia quanzensis/sub_010/118.png,train/Afzelia quanzensis/118.png
Guibourtia ehie/sub_063/Guibourtia ehie_CHYX256_1_(39).png,train/Guibourtia ehie/Guibourtia ehie_CHYX256_1_(39).png
Afzelia bella/sub_001/Afzelia bella_LYSV052_(169).png,train/Afzelia bella/Afzelia bella_LYSV052_(169).png
Pterocarpus sp/sub_083/126_6.png,train/Pterocarpus sp/126_6.png
Sindora cochinchinensis/sub_024/gụ65_1.png,train/Sindora cochinchinensis/gụ65_1.png
Afzelia quanzensis/sub_032/122.png,train/Afzelia quanzensis/122.png
Guibourtia ehie/sub_080/Guibourtia ehie_QAMZ768_7_(259).png,train/Guibourtia ehie/Guibourtia ehie_QAMZ768_7_(259).png
Pterocarpus macrocarpus/sub_008/128_3.png,train/Pterocarpus macrocarpus/128_3.png
Afzelia quanzensis/sub_036/116_5.png,train/Afzelia quanzensis/116_5.png
Pterocarpus indicus/sub_029/3395. Pterocarpus indicus.1 (29).png,train/Pterocarpus indicus/3395. Pterocarpus indicus.1 (29).png
Afzelia africana/sub_033/doussie34_1.png,train/Afzelia africana/doussie34_1.png
Pterocarpus sp/sub_015/153_4.png,train/Pterocarpus sp/153_4.png
Dalbergia melanoxylon/sub_046/3352. Dalbergia melanoxylon.7.(202).png,train/Dalbergia melanoxylon/3352. Dalbergia melanoxylon.7.(202).png
Sindora tonkinensis/sub_075/3381. Sindora tonkinensis.8 (253).png,train/Sindora tonkinensis/3381. Sindora tonkinensis.8 (253).png
Guibourtia arnoldiana/sub_001/3411. Guibourtia arnoldiana.4 (116).png,train/Guibourtia arnoldiana/3411. Guibourtia arnoldiana.4 (116).png
Guibourtia ehie/sub_067/Guibourtia ehie_PRQC042_5_(195).png,train/Guibourtia ehie/Guibourtia ehie_PRQC042_5_(195).png
Pterocarpus soyauxii/sub_072/162_1_1.png,train/Pterocarpus soyauxii/162_1_1.png
Pterocarpus soyauxii/sub_009/136_3.png,train/Pterocarpus soyauxii/136_3.png
Dalbergia rimosa/sub_048/3414. Dalbergia rimosa.4 (118).png,train/Dalbergia rimosa/3414. Dalbergia rimosa.4 (118).png
Dalbergia cochinchinensis/sub_001/Dalbergia cochinchinensis.3280.5 (8).png,train/Dalbergia cochinchinensis/Dalbergia cochinchinensis.3280.5 (8).png
Pterocarpus macrocarpus/sub_080/113_2.png,train/Pterocarpus macrocarpus/113_2.png
Dalbergia melanoxylon/sub_018/3352. Dalbergia melanoxylon.3.(80).png,train/Dalbergia melanoxylon/3352. Dalbergia melanoxylon.3.(80).png
Guibourtia coleosperma/sub_028/Guibourtia coleosperma_3253.10 (10).png,train/Guibourtia coleosperma/Guibourtia coleosperma_3253.10 (10).png
Sindora cochinchinensis/sub_002/gụ79.png,train/Sindora cochinchinensis/gụ79.png
Dalbergia tonkinensis/sub_026/3353. Dalbergia tonkinensis.10.(310).png,train/Dalbergia tonkinensis/3353. Dalbergia tonkinensis.10.(310).png
Afzelia bella/sub_008/Afzelia bella_QUAV174_(286).png,train/Afzelia bella/Afzelia bella_QUAV174_(286).png
Guibourtia arnoldiana/sub_056/3411. Guibourtia arnoldiana.9 (288).png,train/Guibourtia arnoldiana/3411. Guibourtia arnoldiana.9 (288).png
Guibourtia arnoldiana/sub_005/3411. Guibourtia arnoldiana.3 (77).png,train/Guibourtia arnoldiana/3411. Guibourtia arnoldiana.3 (77).png
Pterocarpus soyauxii/sub_027/1127.png,train/Pterocarpus soyauxii/1127.png
Dalbergia tonkinensis/sub_045/3353. Dalbergia tonkinensis.3.(68).png,train/Dalbergia tonkinensis/3353. Dalbergia tonkinensis.3.(68).png
Dalbergia rimosa/sub_021/3414. Dalbergia rimosa.3 (68).png,train/Dalbergia rimosa/3414. Dalbergia rimosa.3 (68).png
Pterocarpus erinaceus/sub_057/3403. Pterocarpus erinaceus.5 (142).png,train/Pterocarpus erinaceus/3403. Pterocarpus erinaceus.5 (142).png
Afzelia quanzensis/sub_041/110_1.png,train/Afzelia quanzensis/110_1.png
Dalbergia melanoxylon/sub_034/3352. Dalbergia melanoxylon.10.(279).png,train/Dalbergia melanoxylon/3352. Dalbergia melanoxylon.10.(279).png
Afzelia africana/sub_017/doussie39_2.png,train/Afzelia africana/doussie39_2.png
Dalbergia cochinchinensis/sub_002/Dalbergia cochinchinensis.3280.5 (3).png,train/Dalbergia cochinchinensis/Dalbergia cochinchinensis.3280.5 (3).png
Guibourtia ehie/sub_001/Guibourtia ehie_CHYX256_1_(1).png,train/Guibourtia ehie/Guibourtia ehie_CHYX256_1_(1).png
Dalbergia cochinchinensis/sub_032/Dalbergia cochinchinensis.3280.8 (5).png,train/Dalbergia cochinchinensis/Dalbergia cochinchinensis.3280.8 (5).png
Peltogyne pubescens/sub_013/3377. Peltogyne pubescens.7 (248).png,train/Peltogyne pubescens/3377. Peltogyne pubescens.7 (248).png
Afzelia quanzensis/sub_057/128.png,train/Afzelia quanzensis/128.png
Dalbergia rimosa/sub_006/3414. Dalbergia rimosa.9 (256).png,train/Dalbergia rimosa/3414. Dalbergia rimosa.9 (256).png
Dalbergia tonkinensis/sub_005/3353. Dalbergia tonkinensis.5.(161).png,train/Dalbergia tonkinensis/3353. Dalbergia tonkinensis.5.(161).png
Dalbergia oliveri/sub_034/Dalbergia oliveri_3237.6_ (17).png,train/Dalbergia oliveri/Dalbergia oliveri_3237.6_ (17).png
Sindora cochinchinensis/sub_066/gụ58_2.png,train/Sindora cochinchinensis/gụ58_2.png
Guibourtia ehie/sub_019/Guibourtia ehie_TLYO895_9_(322).png,train/Guibourtia ehie/Guibourtia ehie_TLYO895_9_(322).png
Afzelia bella/sub_035/Afzelia bella_OGHV743_(212).png,train/Afzelia bella/Afzelia bella_OGHV743_(212).png
Pterocarpus soyauxii/sub_007/1100.png,train/Pterocarpus soyauxii/1100.png
Sindora cochinchinensis/sub_013/gụ25.png,train/Sindora cochinchinensis/gụ25.png
Guibourtia ehie/sub_057/Guibourtia ehie_GHQN943_3_(111).png,train/Guibourtia ehie/Guibourtia ehie_GHQN943_3_(111).png
Sindora tonkinensis/sub_050/3381. Sindora tonkinensis.3 (81).png,train/Sindora tonkinensis/3381. Sindora tonkinensis.3 (81).png
Afzelia bella/sub_030/Afzelia bella_OGHV743_(230).png,train/Afzelia bella/Afzelia bella_OGHV743_(230).png
Afzelia pachyloba/sub_028/1.2_1_1.png,train/Afzelia pachyloba/1.2_1_1.png
Dalbergia oliveri/sub_002/Dalbergia oliveri_3237.6_ (3).png,train/Dalbergia oliveri/Dalbergia oliveri_3237.6_ (3).png
Afzelia quanzensis/sub_076/119.png,train/Afzelia quanzensis/119.png
Pterocarpus indicus/sub_001/3395. Pterocarpus indicus.5 (142).png,train/Pterocarpus indicus/3395. Pterocarpus indicus.5 (142).png
Afzelia bella/sub_051/Afzelia bella_WJSV740_10_36138.png,train/Afzelia bella/Afzelia bella_WJSV740_10_36138.png
Pterocarpus soyauxii/sub_002/126.png,train/Pterocarpus soyauxii/126.png
Afzelia africana/sub_005/doussie16_3.png,train/Afzelia africana/doussie16_3.png
Guibourtia coleosperma/sub_060/Guibourtia coleosperma_3253.9 (13).png,train/Guibourtia coleosperma/Guibourtia coleosperma_3253.9 (13).png
Afzelia quanzensis/sub_041/14_2.png,train/Afzelia quanzensis/14_2.png
Pterocarpus sp/sub_060/133_1.png,train/Pterocarpus sp/133_1.png
Dalbergia oliveri/sub_040/Dalbergia oliveri_3237.5_ (26).png,train/Dalbergia oliveri/Dalbergia oliveri_3237.5_ (26).png
Guibourtia ehie/sub_059/Guibourtia ehie_GHQN943_3_(107).png,train/Guibourtia ehie/Guibourtia ehie_GHQN943_3_(107).png
Guibourtia coleosperma/sub_034/Guibourtia coleosperma_3253.6 (28).png,train/Guibourtia coleosperma/Guibourtia coleosperma_3253.6 (28).png
Guibourtia arnoldiana/sub_053/3411. Guibourtia arnoldiana.5 (157).png,train/Guibourtia arnoldiana/3411. Guibourtia arnoldiana.5 (157).png
Peltogyne pubescens/sub_052/3377. Peltogyne pubescens.5 (167).png,train/Peltogyne pubescens/3377. Peltogyne pubescens.5 (167).png
Afzelia quanzensis/sub_036/124_2.png,train/Afzelia quanzensis/124_2.png
Pterocarpus macrocarpus/sub_082/115_1.png,train/Pterocarpus macrocarpus/115_1.png
Pterocarpus erinaceus/sub_021/3403. Pterocarpus erinaceus.2 (37).png,train/Pterocarpus erinaceus/3403. Pterocarpus erinaceus.2 (37).png
Afzelia bella/sub_051/Afzelia bella_HYBT691_(130).png,train/Afzelia bella/Afzelia bella_HYBT691_(130).png
Guibourtia coleosperma/sub_058/Guibourtia coleosperma_3253.4 (9).png,train/Guibourtia coleosperma/Guibourtia coleosperma_3253.4 (9).png
Pterocarpus soyauxii/sub_007/159.png,train/Pterocarpus soyauxii/159.png
Pterocarpus macrocarpus/sub_054/150_2.png,train/Pterocarpus macrocarpus/150_2.png
Pterocarpus sp/sub_061/149_3.png,train/Pterocarpus sp/149_3.png
Sindora cochinchinensis/sub_053/gụ62.png,train/Sindora cochinchinensis/gụ62.png
Peltogyne pubescens/sub_014/3377. Peltogyne pubescens.5 (156).png,train/Peltogyne pubescens/3377. Peltogyne pubescens.5 (156).png
Pterocarpus erinaceus/sub_017/3403. Pterocarpus erinaceus.9 (294).png,train/Pterocarpus erinaceus/3403. Pterocarpus erinaceus.9 (294).png
Guibourtia coleosperma/sub_018/Guibourtia coleosperma_3253.9 (3).png,train/Guibourtia coleosperma/Guibourtia coleosperma_3253.9 (3).png
Guibourtia arnoldiana/sub_036/3411. Guibourtia arnoldiana.4 (109).png,train/Guibourtia arnoldiana/3411. Guibourtia arnoldiana.4 (109).png
Dalbergia cochinchinensis/sub_002/Dalbergia cochinchinensis.3280.10 (23).png,train/Dalbergia cochinchinensis/Dalbergia cochinchinensis.3280.10 (23).png
Guibourtia arnoldiana/sub_042/3411. Guibourtia arnoldiana.7 (199).png,train/Guibourtia arnoldiana/3411. Guibourtia arnoldiana.7 (199).png
Sindora tonkinensis/sub_077/3381. Sindora tonkinensis.5 (134).png,train/Sindora tonkinensis/3381. Sindora tonkinensis.5 (134).png
Dalbergia melanoxylon/sub_004/3352. Dalbergia melanoxylon.9.(261).png,train/Dalbergia melanoxylon/3352. Dalbergia melanoxylon.9.(261).png
Pterocarpus soyauxii/sub_042/135_1.png,train/Pterocarpus soyauxii/135_1.png
Pterocarpus indicus/sub_016/3395. Pterocarpus indicus.7 (212).png,train/Pterocarpus indicus/3395. Pterocarpus indicus.7 (212).png
Dalbergia tonkinensis/sub_051/3353. Dalbergia tonkinensis.4.(100).png,train/Dalbergia tonkinensis/3353. Dalbergia tonkinensis.4.(100).png
Dalbergia cochinchinensis/sub_064/Dalbergia cochinchinensis.3280.5 (11).png,train/Dalbergia cochinchinensis/Dalbergia cochinchinensis.3280.5 (11).png
Pterocarpus soyauxii/sub_083/156_3.png,train/Pterocarpus soyauxii/156_3.png
Peltogyne pubescens/sub_045/3377. Peltogyne pubescens.1 (4).png,train/Peltogyne pubescens/3377. Peltogyne pubescens.1 (4).png
Dalbergia cochinchinensis/sub_004/Dalbergia cochinchinensis.3280.9 (7).png,train/Dalbergia cochinchinensis/Dalbergia cochinchinensis.3280.9 (7).png
Dalbergia oliveri/sub_013/Dalbergia oliveri_3237.2_ (21).png,train/Dalbergia oliveri/Dalbergia oliveri_3237.2_ (21).png
Afzelia quanzensis/sub_039/131.png,train/Afzelia quanzensis/131.png
Pterocarpus soyauxii/sub_004/147_1.png,train/Pterocarpus soyauxii/147_1.png
Dalbergia oliveri/sub_025/Dalbergia oliveri_3237.4_ (7).png,train/Dalbergia oliveri/Dalbergia oliveri_3237.4_ (7).png
Pterocarpus sp/sub_023/136_4.png,train/Pterocarpus sp/136_4.png
Afzelia quanzensis/sub_014/132_4.png,train/Afzelia quanzensis/132_4.png
Dalbergia melanoxylon/sub_024/3352. Dalbergia melanoxylon.10.(274).png,train/Dalbergia melanoxylon/3352. Dalbergia melanoxylon.10.(274).png
Pterocarpus macrocarpus/sub_023/15_2.png,train/Pterocarpus macrocarpus/15_2.png
Afzelia bella/sub_017/Afzelia bella_GCJA653_(115).png,train/Afzelia bella/Afzelia bella_GCJA653_(115).png
Guibourtia coleosperma/sub_067/Guibourtia coleosperma_3253.11 (36).png,train/Guibourtia coleosperma/Guibourtia coleosperma_3253.11 (36).png
Pterocarpus macrocarpus/sub_024/11_4.png,train/Pterocarpus macrocarpus/11_4.png
Afzelia africana/sub_068/doussie23_1.png,train/Afzelia africana/doussie23_1.png
